"","ensembl_gene_id","hgnc_symbol","entrezgene"
"610","ENSG00000134698","AGO4",192670
"611","ENSG00000142661","MYOM3",127294
"612","ENSG00000142669","SH3BGRL3",83442
"613","ENSG00000142675","CNKSR1",10256
"614","ENSG00000142676","RPL11",6135
"615","ENSG00000142677","IL22RA1",58985
"616","ENSG00000142684","ZNF593",51042
"617","ENSG00000142686","C1orf216",127703
"618","ENSG00000142687","KIAA0319L",79932
"619","ENSG00000142694","EVA1B",55194
"620","ENSG00000142698","C1orf94",84970
"621","ENSG00000142733","MAP3K6",9064
"622","ENSG00000142748","FCN3",8547
"623","ENSG00000142751","GPN2",54707
"624","ENSG00000142765","SYTL1",84958
"625","ENSG00000142784","WDTC1",23038
"626","ENSG00000142789","CELA3A",10136
"627","ENSG00000142794","NBPF3",84224
"628","ENSG00000142798","HSPG2",3339
"629","ENSG00000142910","TINAGL1",64129
"630","ENSG00000142920","AZIN2",113451
"631","ENSG00000146463","ZMYM4",9202
"632","ENSG00000157978","LDLRAP1",26119
"633","ENSG00000158006","PAFAH2",5051
"634","ENSG00000158008","EXTL1",2134
"635","ENSG00000158014","SLC30A2",7780
"636","ENSG00000158022","TRIM63",84676
"637","ENSG00000158055","GRHL3",57822
"638","ENSG00000158062","UBXN11",91544
"639","ENSG00000158156","XKR8",55113
"640","ENSG00000158161","EYA3",2140
"641","ENSG00000158195","WASF2",10163
"642","ENSG00000158246","FAM46B",115572
"643","ENSG00000158747","NBL1",4681
"644","ENSG00000158748","HTR6",3362
"645","ENSG00000158786","PLA2G2F",64600
"646","ENSG00000158816","VWA5B1",127731
"647","ENSG00000158825","CDA",978
"648","ENSG00000158828","PINK1",65018
"649","ENSG00000159023","EPB41",2035
"650","ENSG00000159189","C1QC",714
"651","ENSG00000159423","ALDH4A1",8659
"652","ENSG00000160050","CCDC28B",79140
"653","ENSG00000160051","IQCC",55721
"654","ENSG00000160055","TMEM234",56063
"655","ENSG00000160058","BSDC1",55108
"656","ENSG00000160062","ZBTB8A",653121
"657","ENSG00000160094","ZNF362",149076
"658","ENSG00000160097","FNDC5",252995
"659","ENSG00000162419","GMEB1",10691
"660","ENSG00000162430","SELENON",57190
"661","ENSG00000162482","AKR7A3",22977
"662","ENSG00000162510","MATN1",4146
"663","ENSG00000162511","LAPTM5",7805
"664","ENSG00000162512","SDC3",9672
"665","ENSG00000162517","PEF1",553115
"666","ENSG00000162520","SYNC",81493
"667","ENSG00000162521","RBBP4",5928
"668","ENSG00000162522","KIAA1522",57648
"669","ENSG00000162526","TSSK3",81629
"670","ENSG00000162542","TMCO4",255104
"671","ENSG00000162543","UBXN10",127733
"672","ENSG00000162545","CAMK2N1",55450
"673","ENSG00000162551","ALPL",249
"674","ENSG00000162552","WNT4",54361
"675","ENSG00000163866","SMIM12",113444
"676","ENSG00000163867","ZMYM6",9204
"677","ENSG00000163873","GRIK3",2899
"678","ENSG00000168528","SERINC2",347735
"679","ENSG00000169403","PTAFR",5724
"680","ENSG00000169442","CD52",1043
"681","ENSG00000169504","CLIC4",25932
"682","ENSG00000169641","LUZP1",7798
"683","ENSG00000169914","OTUD3",23252
"684","ENSG00000169991","IFFO2",126917
"685","ENSG00000171812","COL8A2",1296
"686","ENSG00000172746","RPL12P13",NA
"687","ENSG00000173369","C1QB",713
"688","ENSG00000173372","C1QA",712
"689","ENSG00000173436","MINOS1",440574
"690","ENSG00000174950","CD164L2",388611
